Ag(T+D)	4301.00	-0.25%	121576	4298.00	4305.00	4305.00	4292.00	2013-11-12 01:35:42
Au(T+D)	252.70	-0.36%	2624	252.57	253.00	252.97	252.17	2013-11-12 01:35:42
Au100g	253.60	-0.09%	156	253.88	253.85	253.90	253.50	2013-11-12 01:35:42
Au99.95	244.10	0.00%	0	0.00	253.11	0.00	0.00	2013-11-12 01:35:56
Au99.99	252.70	-0.23%	6008	254.58	253.29	254.58	252.50	2013-11-12 01:35:42
								
Ag(T+D)	4300.00	-0.27%	121888	4298.00	4305.00	4305.00	4292.00	2013-11-12 01:39:31
Au(T+D)	252.75	-0.34%	2822	252.57	253.00	252.97	252.17	2013-11-12 01:39:31
Au100g	253.60	-0.09%	156	253.88	253.85	253.90	253.50	2013-11-12 01:39:31
Au99.95	244.10	0.00%	0	0.00	253.11	0.00	0.00	2013-11-12 01:39:33
Au99.99	252.70	-0.23%	6008	254.58	253.29	254.58	252.50	2013-11-12 01:39:31
								
Ag(T+D)	4300.00	-0.27%	122098	4298.00	4305.00	4305.00	4292.00	2013-11-12 01:46:31
Au(T+D)	252.75	-0.34%	2958	252.57	253.00	252.97	252.17	2013-11-12 01:46:31
Au100g	253.60	-0.09%	156	253.88	253.85	253.90	253.50	2013-11-12 01:46:31
Au99.95	244.10	0.00%	0	0.00	253.11	0.00	0.00	2013-11-12 01:46:37
Au99.99	252.70	-0.23%	6008	254.58	253.29	254.58	252.50	2013-11-12 01:46:31
								
Ag(T+D)	4300.00	-0.27%	122140	4298.00	4305.00	4305.00	4292.00	2013-11-12 01:48:32
Au(T+D)	252.75	-0.34%	2958	252.57	253.00	252.97	252.17	2013-11-12 01:48:32
Au100g	253.60	-0.09%	156	253.88	253.85	253.90	253.50	2013-11-12 01:48:32
Au99.95	244.10	0.00%	0	0.00	253.11	0.00	0.00	2013-11-12 01:48:38
Au99.99	252.70	-0.23%	6008	254.58	253.29	254.58	252.50	2013-11-12 01:48:32
Ag(T+D)	4272.00	-0.92%	949764	4298.00	4305.00	4305.00	4248.00	2013-11-12 15:30:00
Au(T+D)	251.95	-0.65%	19216	252.57	253.00	252.97	251.00	2013-11-12 15:29:55
Au100g	253.00	-0.33%	894	253.88	253.85	253.90	252.00	2013-11-12 15:29:58
Au99.95	251.95	-0.45%	3272	251.25	253.11	252.30	251.20	2013-11-12 15:29:53
Au99.99	251.95	-0.52%	126810	254.58	253.29	254.58	251.10	2013-11-12 15:29:53
Ag(T+D)	4272.00	-0.92%	949764	4298.00	4305.00	4305.00	4248.00	2013-11-12 15:30:00
Au(T+D)	251.95	-0.65%	19216	252.57	253.00	252.97	251.00	2013-11-12 15:29:55
Au100g	253.00	-0.33%	894	253.88	253.85	253.90	252.00	2013-11-12 15:29:58
Au99.95	251.95	-0.45%	3272	251.25	253.11	252.30	251.20	2013-11-12 15:29:53
Au99.99	251.95	-0.52%	126810	254.58	253.29	254.58	251.10	2013-11-12 15:29:53
Ag(T+D)	4272.00	-0.92%	949764	4298.00	4305.00	4305.00	4248.00	2013-11-12 15:30:00
Au(T+D)	251.95	-0.65%	19216	252.57	253.00	252.97	251.00	2013-11-12 15:29:55
Au100g	253.00	-0.33%	894	253.88	253.85	253.90	252.00	2013-11-12 15:29:58
Au99.95	251.95	-0.45%	3272	251.25	253.11	252.30	251.20	2013-11-12 15:29:53
Au99.99	251.95	-0.52%	126810	254.58	253.29	254.58	251.10	2013-11-12 15:29:53
Ag(T+D)	4270.00	0.00%	0	0.00	4272.00	0.00	0.00	2013-11-12 20:53:38
Au(T+D)	251.31	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 20:53:38
Au100g	253.00	-0.33%	894	253.88	253.85	253.90	252.00	2013-11-12 15:29:58
Au99.95	251.95	-0.45%	3272	251.25	253.11	252.30	251.20	2013-11-12 15:29:53
Au99.99	251.95	-0.52%	126810	254.58	253.29	254.58	251.10	2013-11-12 15:29:53
Ag(T+D)	4277.00	0.11%	8480	4274.00	4272.00	4280.00	4274.00	2013-11-12 21:00:56
Au(T+D)	252.05	0.09%	46	251.80	251.94	252.80	251.80	2013-11-12 21:00:56
Au100g	253.00	0.00%	0	0.00	252.91	0.00	0.00	2013-11-12 21:00:59
Au99.95	177.77	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:00:59
Au99.99	252.99	0.40%	2	252.99	251.96	252.99	252.99	2013-11-12 21:00:55
Ag(T+D)	4276.00	0.09%	10510	4274.00	4272.00	4280.00	4274.00	2013-11-12 21:01:28
Au(T+D)	252.05	0.09%	78	251.80	251.94	252.80	251.80	2013-11-12 21:01:27
Au100g	253.00	0.00%	0	0.00	252.91	0.00	0.00	2013-11-12 21:01:29
Au99.95	177.77	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:01:29
Au99.99	252.50	0.21%	82	252.99	251.96	252.99	252.50	2013-11-12 21:01:24
Ag(T+D)	4277.00	0.11%	14570	4274.00	4272.00	4280.00	4274.00	2013-11-12 21:02:26
Au(T+D)	252.05	0.09%	82	251.80	251.94	252.80	251.80	2013-11-12 21:02:26
Au100g	253.00	0.00%	0	0.00	252.91	0.00	0.00	2013-11-12 21:02:30
Au99.95	177.99	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:02:30
Au99.99	252.50	0.21%	82	252.99	251.96	252.99	252.50	2013-11-12 21:02:24
Ag(T+D)	4277.00	0.11%	20346	4274.00	4272.00	4280.00	4274.00	2013-11-12 21:03:39
Au(T+D)	252.04	0.09%	116	251.80	251.94	252.80	251.80	2013-11-12 21:03:37
Au100g	253.00	0.00%	0	0.00	252.91	0.00	0.00	2013-11-12 21:03:42
Au99.95	188.88	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:03:42
Au99.99	252.50	0.21%	82	252.99	251.96	252.99	252.50	2013-11-12 21:03:34
Ag(T+D)	4282.00	0.23%	31952	4274.00	4272.00	4284.00	4274.00	2013-11-12 21:04:59
Au(T+D)	252.30	0.19%	208	251.80	251.94	252.80	251.80	2013-11-12 21:04:58
Au100g	253.00	0.00%	0	0.00	252.91	0.00	0.00	2013-11-12 21:05:01
Au99.95	188.88	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:05:01
Au99.99	252.50	0.21%	122	252.99	251.96	252.99	252.50	2013-11-12 21:04:54
Ag(T+D)	4282.00	0.23%	31418	4274.00	4272.00	4284.00	4274.00	2013-11-12 21:04:54
Au(T+D)	252.30	0.19%	206	251.80	251.94	252.80	251.80	2013-11-12 21:04:52
Au100g	253.00	0.00%	0	0.00	252.91	0.00	0.00	2013-11-12 21:04:55
Au99.95	188.88	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:04:55
Au99.99	252.50	0.21%	122	252.99	251.96	252.99	252.50	2013-11-12 21:04:50
Ag(T+D)	4287.00	0.35%	44874	4274.00	4272.00	4288.00	4274.00	2013-11-12 21:06:44
Au(T+D)	252.50	0.27%	370	251.80	251.94	252.80	251.80	2013-11-12 21:06:41
Au100g	253.49	0.22%	2	253.49	252.91	253.49	253.49	2013-11-12 21:06:44
Au99.95	188.89	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:06:44
Au99.99	252.40	0.17%	166	252.99	251.96	252.99	252.40	2013-11-12 21:06:44
Ag(T+D)	4286.00	0.32%	54954	4274.00	4272.00	4288.00	4274.00	2013-11-12 21:07:58
Au(T+D)	252.51	0.27%	402	251.80	251.94	252.80	251.80	2013-11-12 21:07:55
Au100g	253.49	0.22%	2	253.49	252.91	253.49	253.49	2013-11-12 21:07:54
Au99.95	242.10	0.00%	0	0.00	251.94	0.00	0.00	2013-11-12 21:08:02
Au99.99	252.55	0.23%	530	252.99	251.96	252.99	252.40	2013-11-12 21:07:54
